"filename", "language", "YAML", "TypeScript", "Markdown", "JSON with Comments", "MS SQL", "Docker", "JSON", "Java", "HTML", "JavaScript", "XML", "PostCSS", "comment", "blank", "total"
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\dev-bundle\webapp\VAADIN\build\vaadin-board-828ebdea-ef5613cb.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\dev-bundle\webapp\VAADIN\build\vaadin-board-row-c70d0c55-86451afc.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\dev-bundle\webapp\VAADIN\build\vaadin-button-2511ad84-e59d5837.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\dev-bundle\webapp\VAADIN\build\vaadin-chart-5192dc15-0deb26c4.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\dev-bundle\webapp\VAADIN\build\vaadin-checkbox-4e68df64-de03f0a1.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\dev-bundle\webapp\VAADIN\build\vaadin-checkbox-group-a7c65bf2-606b2071.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\dev-bundle\webapp\VAADIN\build\vaadin-combo-box-96451ddd-c284978f.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\dev-bundle\webapp\VAADIN\build\vaadin-confirm-dialog-4d718829-f1525ec3.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\dev-bundle\webapp\VAADIN\build\vaadin-cookie-consent-46c09f8b-4c291561.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\dev-bundle\webapp\VAADIN\build\vaadin-crud-8d161a22-319e10b4.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
